m,q,a,requested_digits,guard_digits,working_bits,planned_direct_depth,planned_transformed_depth,selected_regime,retained_depth,value,R_tail,R_rec,R_sum,R_trans,R_coef,R_total,certified_digits
0.01,0.99004983374916805357,0,1000,50,3553,492,2,transformed,2,17.724538509055160272981674833411451827975494561223871282138077898529112845910322,7.3510261379838405738e-3857,1.3699622248771859868e-1496,9.7730548879720253475e-1069,1.9546109775944050695e-1068,0.0,2.9319164663916076043e-1068,1067.533
0.01,0.99004983374916805357,1/2,1000,50,3553,492,2,transformed,2,17.724538509055160272981674833411451827975494561223871282138077898529112845910322,7.3510261379838405738e-3857,1.3699622248771859868e-1496,9.7730548879720253475e-1069,1.9546109775944050695e-1068,0.0,2.9319164663916076043e-1068,1067.533
0.01,0.99004983374916805357,1/3,1000,50,3553,492,2,transformed,2,17.724538509055160272981674833411451827975494561223871282138077898529112845910322,7.3510261379838405738e-3857,6.849811124385929934e-1497,9.7730548879720253475e-1069,1.9546109775944050695e-1068,0.0,2.9319164663916076043e-1068,1067.533
0.01,0.99004983374916805357,1/4,1000,50,3553,492,2,transformed,2,17.724538509055160272981674833411451827975494561223871282138077898529112845910322,7.3510261379838405738e-3857,2.3293156275807541965e-2782,9.7730548879720253475e-1069,1.9546109775944050695e-1068,0.0,2.9319164663916076043e-1068,1067.533
0.01,0.99004983374916805357,1/6,1000,50,3553,492,2,transformed,2,17.724538509055160272981674833411451827975494561223871282138077898529112845910322,7.3510261379838405738e-3857,6.849811124385929934e-1497,9.7730548879720253475e-1069,1.9546109775944050695e-1068,0.0,2.9319164663916076043e-1068,1067.533
0.0001,0.9999000049998333375,0,1000,50,3553,4918,1,transformed,1,177.24538509055160272981674833411451827975494561223871282138077898529112845910322,9.1286485190105915196e-171451,4.1771683303965486498e-43930,4.8865274439860126738e-1068,1.9546109775944050695e-1067,0.0,2.4432637219930063369e-1067,1066.612
0.0001,0.9999000049998333375,1/2,1000,50,3553,4918,1,transformed,1,177.24538509055160272981674833411451827975494561223871282138077898529112845910322,9.1286485190105915196e-171451,4.1771683303965486498e-43930,4.8865274439860126738e-1068,1.9546109775944050695e-1067,0.0,2.4432637219930063369e-1067,1066.612
0.0001,0.9999000049998333375,1/3,1000,50,3553,4918,1,transformed,1,177.24538509055160272981674833411451827975494561223871282138077898529112845910322,9.1286485190105915196e-171451,2.0885841651982743249e-43930,4.8865274439860126738e-1068,1.9546109775944050695e-1067,0.0,2.4432637219930063369e-1067,1066.612
0.0001,0.9999000049998333375,1/4,1000,50,3553,4918,1,transformed,1,177.24538509055160272981674833411451827975494561223871282138077898529112845910322,9.1286485190105915196e-171451,0.0,4.8865274439860126738e-1068,1.9546109775944050695e-1067,0.0,2.4432637219930063369e-1067,1066.612
0.0001,0.9999000049998333375,1/6,1000,50,3553,4918,1,transformed,1,177.24538509055160272981674833411451827975494561223871282138077898529112845910322,9.1286485190105915196e-171451,2.0885841651982743249e-43930,4.8865274439860126738e-1068,1.9546109775944050695e-1067,0.0,2.4432637219930063369e-1067,1066.612
1.0e-6,0.99999900000049999983,0,1000,50,3553,49171,1,transformed,1,1772.4538509055160272981674833411451827975494561223871282138077898529112845910322,4.2634414562355211539e-17145256,1.0919944503088687753e-4287380,4.8865274439860126738e-1067,1.9546109775944050695e-1066,0.0,2.4432637219930063369e-1066,1065.612
1.0e-6,0.99999900000049999983,1/2,1000,50,3553,49171,1,transformed,1,1772.4538509055160272981674833411451827975494561223871282138077898529112845910322,4.2634414562355211539e-17145256,1.0919944503088687753e-4287380,4.8865274439860126738e-1067,1.9546109775944050695e-1066,0.0,2.4432637219930063369e-1066,1065.612
1.0e-6,0.99999900000049999983,1/3,1000,50,3553,49171,1,transformed,1,1772.4538509055160272981674833411451827975494561223871282138077898529112845910322,4.2634414562355211539e-17145256,5.4599722515443438767e-4287381,4.8865274439860126738e-1067,1.9546109775944050695e-1066,0.0,2.4432637219930063369e-1066,1065.612
1.0e-6,0.99999900000049999983,1/4,1000,50,3553,49171,1,transformed,1,1772.4538509055160272981674833411451827975494561223871282138077898529112845910322,4.2634414562355211539e-17145256,0.0,4.8865274439860126738e-1067,1.9546109775944050695e-1066,0.0,2.4432637219930063369e-1066,1065.612
1.0e-6,0.99999900000049999983,1/6,1000,50,3553,49171,1,transformed,1,1772.4538509055160272981674833411451827975494561223871282138077898529112845910322,4.2634414562355211539e-17145256,5.4599722515443438767e-4287381,4.8865274439860126738e-1067,1.9546109775944050695e-1066,0.0,2.4432637219930063369e-1066,1065.612
